sentiment,time,hashtags
0,1421699284,EFC
-1,1421699287,EFC
3,1421699287,EFC
1,1421699288,EFC
3,1421699289,EFC
3,1421699291,EFC
0,1421699292,
-1,1421699292,EFC
3,1421699300,EFC
0,1421699303,EFC
2,1421699303,EFC
-1,1421699308,EFC
-10,1421699309,EFC
0,1421699310,
2,1421699314,Both
0,1421699315,EFC
0,1421699316,EFC
-1,1421699321,
0,1421699329,EFC
3,1421699331,EFC
3,1421699333,EFC
2,1421699334,EFC
0,1421699336,EFC
-1,1421699336,EFC
0,1421699337,EFC
3,1421699338,EFC
3,1421699341,EFC
0,1421699343,EFC
-1,1421699344,EFC
3,1421699345,EFC
3,1421699353,EFC
3,1421699354,EFC
3,1421699356,EFC
0,1421699357,EFC
3,1421699357,EFC
3,1421699359,EFC
-3,1421699368,EFC
0,1421699370,EFC
3,1421699372,EFC
3,1421699375,EFC
0,1421699378,EFC
0,1421699378,EFC
3,1421699378,EFC
2,1421699379,EFC
2,1421699382,EFC
7,1421699385,EFC
3,1421699389,EFC
3,1421699390,EFC
0,1421699395,EFC
0,1421699395,EFC
0,1421699398,EFC
0,1421699402,EFC
3,1421699403,EFC
3,1421699405,EFC
2,1421699421,EFC
0,1421699422,
3,1421699423,EFC
3,1421699423,EFC
0,1421699424,WBA
0,1421699427,EFC
3,1421699431,Both
1,1421699432,Both
0,1421699433,EFC
4,1421699433,EFC
0,1421699433,EFC
0,1421699434,EFC
-3,1421699439,EFC
3,1421699440,EFC
3,1421699440,EFC
0,1421699440,
3,1421699445,EFC
0,1421699449,EFC
-2,1421699452,EFC
-3,1421699453,EFC
-2,1421699458,EFC
-1,1421699461,Both
-1,1421699463,EFC
3,1421699469,EFC
3,1421699472,EFC
0,1421699473,EFC
3,1421699476,EFC
0,1421699477,EFC
1,1421699479,EFC
3,1421699481,EFC
0,1421699481,WBA
0,1421699490,EFC
-4,1421699496,EFC
3,1421699496,EFC
2,1421699497,EFC
-2,1421699498,EFC
-1,1421699501,EFC
-1,1421699504,EFC
-1,1421699506,EFC
0,1421699506,EFC
3,1421699507,EFC
2,1421699510,EFC
3,1421699512,EFC
0,1421699514,EFC
-3,1421699514,EFC
0,1421699516,EFC
-4,1421699522,EFC
0,1421699530,EFC
-2,1421699532,EFC
0,1421699539,EFC
0,1421699539,EFC
0,1421699540,EFC
0,1421699540,EFC
0,1421699542,EFC
3,1421699543,EFC
0,1421699544,EFC
2,1421699546,EFC
0,1421699548,EFC
0,1421699549,WBA
-4,1421699557,EFC
-3,1421699559,EFC
-3,1421699559,EFC
